Artist,Song,Streams,Date
Mariah Carey,All I Want for Christmas Is You,184159,11/1/2017
Mariah Carey,All I Want for Christmas Is You,197146,11/2/2017
Mariah Carey,All I Want for Christmas Is You,165002,11/5/2017
Mariah Carey,All I Want for Christmas Is You,200943,11/8/2017
Mariah Carey,All I Want for Christmas Is You,202517,11/9/2017
Mariah Carey,All I Want for Christmas Is You,213188,11/10/2017
Mariah Carey,All I Want for Christmas Is You,200055,11/11/2017
Mariah Carey,All I Want for Christmas Is You,201095,11/12/2017
Mariah Carey,All I Want for Christmas Is You,205104,11/13/2017
Mariah Carey,All I Want for Christmas Is You,205245,11/14/2017
Mariah Carey,All I Want for Christmas Is You,217079,11/15/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,187607,11/15/2017
Mariah Carey,All I Want for Christmas Is You,223202,11/16/2017
Mariah Carey,All I Want for Christmas Is You,233102,11/17/2017
Mariah Carey,All I Want for Christmas Is You,243828,11/18/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,208807,11/18/2017
Mariah Carey,All I Want for Christmas Is You,301551,11/19/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,215163,11/19/2017
Mariah Carey,All I Want for Christmas Is You,347369,11/20/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,234109,11/20/2017
Mariah Carey,All I Want for Christmas Is You,397427,11/21/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,263039,11/21/2017
Mariah Carey,All I Want for Christmas Is You,421900,11/22/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,278341,11/22/2017
Mariah Carey,All I Want for Christmas Is You,482663,11/23/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,320605,11/23/2017
Mariah Carey,All I Want for Christmas Is You,558138,11/24/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,376103,11/24/2017
Mariah Carey,All I Want for Christmas Is You,592952,11/25/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,424809,11/25/2017
Mariah Carey,All I Want for Christmas Is You,646859,11/26/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,467613,11/26/2017
Mariah Carey,All I Want for Christmas Is You,664585,11/27/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,469052,11/27/2017
Mariah Carey,All I Want for Christmas Is You,657903,11/28/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,449561,11/28/2017
Mariah Carey,All I Want for Christmas Is You,666354,11/29/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,449263,11/29/2017
Mariah Carey,All I Want for Christmas Is You,719797,11/30/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,458651,11/30/2017
Mariah Carey,All I Want for Christmas Is You,787650,12/1/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,504816,12/1/2017
Mariah Carey,All I Want for Christmas Is You,909874,12/2/2017
Brenda Lee,Rockin' Around The Christmas Tree - Single Version,576590,12/2/2017
